id,name,lat,lng,type,desc,image
[cite_start]1,达州马渡关,31.560,107.800,关隘,荔枝道上的重要关隘，也是著名的川陕交通要道遗址，蕴含丰富的石刻文化。[cite: 214]
[cite_start]2,汉中子午驿,33.050,107.500,驿站,位于陕西汉中，是荔枝道穿越秦岭的重要节点，见证了古代南北交通的繁忙。[cite: 214]
[cite_start]3,重庆长寿朱砂荔园,29.830,107.070,产地,荔枝道的重要起点之一，保存有核心的荔枝种植遗存。[cite: 214]
[cite_start]4,洋县,33.220,107.540,节点,陕西境内的重要节点，连接秦岭与巴蜀的交通枢纽。[cite: 108]
[cite_start]5,萼山垭口,32.050,108.100,自然险阻,位于川陕分界处，是荔枝道徒步体验中极具挑战与自然风光的路段。[cite: 108]
[cite_start]6,涪陵,29.6605890,107.3320030,核心起点与贡荔源头,涪陵（唐代称涪州）是荔枝道的南端核心起点，更是唐代贡荔的核心产地。据《新唐书》《荔枝谱》记载，唐天宝年间，此地“妃子园”盛产荔枝名品“玉真子”，为杨贵妃所嗜。鲜荔枝采下后密封于竹筒，从涪陵荔枝园码头出发，经荔枝道快马驿传运往长安。作为古道起点，涪陵留存“荔圃春风”等历史印记，其贡荔史实与古道遗存，是荔枝道文化的重要源头与核心载体。,[cite_start]6.jpg
[cite_start]7,大竹,30.730,107.200,节点,米仓道与荔枝道沿线的文化重镇。[cite: 19]
[cite_start]8,开江县,31.080,107.870,节点,位于达州东部，是荔枝道沿线重要的商贸与文化交汇点。[cite: 23]
[cite_start]9,万源市,32.060,108.040,节点,地处大巴山腹地，保留了大量的荔枝道古道遗痕。[cite: 24]
[cite_start]10,锦里,30.650,104.050,文创地,成都知名的三国文化圣地，未来我们文创产品计划入驻的线下铺位地点。[cite: 301]1,汉中,33.1711240,107.0450090,核心枢纽,北依秦岭，南屏巴山，是荔枝道上的战略咽喉。千年前，运送荔枝的快马由此向北穿越险峻的子午谷，直抵长安。,1.jpg
