id,title,author,era,content,type,source
1,惠州一绝,佚名,荔枝 或指《惠州一绝》,罗浮山下四时春，卢橘杨梅次第新。 日啖荔枝三百颗，不辞长作岭南人。(不辞 一作：不妨),诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
2,荔枝叹,佚名,苏轼〔宋代〕,十里一置飞尘灰，五里一堠兵火催。 颠坑仆谷相枕藉，知是荔枝龙眼来。 飞车跨山鹘横海，风枝露叶如新采。 宫中美人一破颜，惊尘溅血流千载。 永元荔枝来交州，天宝岁贡取之涪。 至今欲食林甫肉，无人举觞酹伯游。 我愿天公怜赤子，莫生尤物为疮痏。 雨顺风调百谷登，民不饥寒为上瑞。 君不见，武夷溪边粟粒芽，前丁后蔡相笼加。(相笼加 一作：相宠加) 争新买宠各出意，今年斗品充官茶。 吾君所乏岂此物，致养口体何陋耶？ 洛阳相君忠孝家，可怜亦进姚黄花。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
3,荔枝图序,佚名,白居易〔唐代〕,荔枝生巴峡间。树形团团如帷盖，叶如桂，冬青；华如橘，春荣；实如丹，夏熟。朵如葡萄，核如枇杷，壳如红缯，膜如紫绡，瓤肉莹白如冰雪，浆液甘酸如醴酪。大略如彼，其实过之。若离本枝，一日而色变，二日而香变，三日而味变，四五日外，色香味尽去矣。 元和十五年夏，南宾守乐天，命工吏图而书之，盖为不识者与识而不及一二三日者云。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
4,荔枝香近·七夕,佚名,吴文英〔宋代〕,睡轻时闻，晚鹊噪庭树。又说今夕天津，西畔重欢遇。蛛丝暗锁红楼，燕子穿帘处。天上、未比人间更情苦。 秋鬓改，妒月姊、长眉妩。过雨西风，数叶井梧愁舞。梦入蓝桥，几点疏星映朱户。泪湿沙边凝伫。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
5,减字木兰花·荔枝,佚名,苏轼〔宋代〕,闽溪珍献，过海云帆来似箭。玉座金盘，不贡奇葩四百年。 轻红酽白，雅称佳人纤手擘。骨细肌香，恰是当年十八娘。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
6,咏荔枝,佚名,丘浚〔明代〕,世间珍果更无加，玉雪肌肤罩绛纱。 一种天然好滋味，可怜生处是天涯。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
7,荔枝香近·送人游南徐,佚名,吴文英〔宋代〕,锦带吴钩，征思横雁水。夜吟敲落霜红，船傍枫桥系。相思不管年华，唤酒吴娃市。因话、驻马新堤步秋绮。 淮楚尾。暮云送、人千里。细雨南楼，香密锦温曾醉。花谷依然，秀靥偷春小桃李。为语梦窗憔悴。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
8,南乡子·双荔枝,佚名,苏轼〔宋代〕,天与化工知。赐得衣裳总是绯。每向华堂深处见，怜伊。两个心肠一片儿。 自小便相随。绮席歌筵不暂离。苦恨人人分拆破，东西。怎得成双似旧时。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
9,荔枝,佚名,戴叔伦〔唐代〕,红颗真珠诚可爱，白须太守亦何痴。 十年结子知谁在，自向中庭种荔枝。,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
10,荔枝赋,佚名,张九龄〔唐代〕,南海郡出荔枝焉，每至季夏，其实乃熟，状甚环诡，味特甘滋，百果之中，无一可比。余往在西掖，尝盛称之，诸公莫之知，而固未之信。唯舍人彭城刘侯，弱年迁累，经于南海，一闻斯谈，倍复喜叹，以为甘旨之极也。又谓龙眼凡果，而与荔枝齐名，魏文帝方引蒲桃及龙眼相比，是时二方不通，传闻之大谬也。每相顾闲议，欲为赋述，而世务卒卒，此志莫就。及理郡暇日，追叙往心，夫物以不知而轻，味以无比而疑，远不可验，终然永屈。况士有未效之用，而身在无誉之间，苟无深知，与彼亦何以异也？因道扬其实，遂作此赋。 果之美者，厥有荔枝。虽受气于震方，实禀精于火离。乃作酸于此裔，爰负阳以从宜。蒙休和之所播，涉寒暑而匪亏。下合围以擢本，傍荫亩而抱规。紫纹绀理，黛叶缃枝，蓊郁而霮䨴，环合而棼纚。如盖之张，如帷之垂，云烟沃若，孔翠于斯。灵根所盘，不高不卑，陋下泽之沮洳，恶层崖之崄巇，彼前志之或妄，何侧生之见疵？ 尔其勾芒在辰，凯风入律，肇允含滋，芬敷谧溢，绿穗靡靡，青英苾苾，不丰其华，但甘其实。如有意乎敦本，故微文而妙质。蒂药房而攒萃，皮龙鳞以骈比，肤玉英而含津，色江萍以吐日。朱苞剖，明珰出，冏然数寸，犹不可匹。未玉齿而殆销，虽琼浆而可轶。彼众味之有五，此甘滋之不一，伊醇淑之无准，非精言之能悉。闻者欢而竦企，见者讶而惊仡。心恚可以蠲忿，口爽可以忘疾。且欲神于醴露，何比数之湘橘？援蒲桃之见拟，亦古人之深疾。 若乃卑轩洞开，嘉宾四会，时当燠煜，客或烦愦。而斯果在焉，莫不心侈而体忲，信雕盘之仙液，实玳筵之绮缋。有终食于累百，愈益气而治内，故无厌于所甘，虽不贪而必爱。沉李美而莫取，浮甘瓜而自退。岂一座之所荣，冠四时而为最。 夫其贵可以荐宗庙，其珍可以羞王公，亭十里而莫致，门九重兮曷通？山五峤兮白云，江千里兮清枫，何斯美之独远？嗟尔命之不工。每被销于凡口，罕获知于贵躬。柿何称乎梁侯，梨何幸乎张公？亦因人之所遇，孰能辨乎其中哉！,诗歌,https://www.guwendao.net/search.aspx?value=%E8%8D%94%E6%9E%9D&page=1
